id;name;start_date;description;sector;lider;cordinador
1;writ;2026-03-27;crazy;21245;restaurant yuck exasperation;furthermore since cycle
2;noisily anguished;2026-03-27;around;27860;well-groomed which calmly;though before
3;repeatedly back;2026-03-28;woot;19345;asset venom;short-term
4;underpants swat;2026-03-27;incidentally insolence unless;13892;weighty;astride
5;and membership;2026-03-27;though;2676;petal brr;now
6;appreciate;2026-03-28;if blah;29155;edge athwart;homeschool
7;limply geez puritan;2026-03-27;ride;8700;fooey intervention ack;crafty optimistic adult
8;intent train insecure;2026-03-28;sweetly;11059;idle;athwart thankfully up
9;grass unhealthy;2026-03-27;consequently um midst;27238;basket doing gadzooks;unless newsletter
10;ramp along manipulate;2026-03-27;inure cone ravioli;16464;reapply lest ouch;whistle huzzah
11;candid;2026-03-27;ouch footrest stupendous;19536;granular pfft;well-worn intend once
12;contractor abaft pillow;2026-03-27;but as;25267;courageously mediocre delectable;upon greatly general
13;astride;2026-03-27;outlying steak gosh;30550;er thoughtfully wallaby;if pluck phew
14;obedience scent;2026-03-27;tuber monthly lustrous;16886;unbearably;despite
15;each trouser haze;2026-03-27;edge;20935;alienated yahoo;yum
16;handle;2026-03-27;overfeed gee cinder;3420;agitated;what forecast
17;ew persecute grandson;2026-03-27;reasoning woot;18991;claw;scorn
18;short;2026-03-28;until;20407;yahoo toward;poetry yahoo
19;why phooey;2026-03-27;per powerfully;5613;rim step-mother;the behind
20;broadly meh;2026-03-27;poetry;15237;worthwhile;regularly inhibit dish
21;even bathrobe;2026-03-27;yowza er courageous;27471;once velvety;key who aw
22;dead whenever;2026-03-27;cumbersome subdued;24675;federate;before but poetry
23;meager;2026-03-27;whoa;3918;ouch;brightly
24;maestro;2026-03-28;gad;12979;hopelessly;whoa
25;pace;2026-03-28;politely hmph;17594;gazebo well-lit casket;hateful assist
26;bin;2026-03-27;any boo;19337;oh adventurously;mmm for whoa
27;whereas;2026-03-27;drat pocket-watch brief;339;phooey irritably;politely sightseeing help
28;backbone;2026-03-27;pish for;29761;hungry drat;under in
29;exacerbate implode;2026-03-27;despite modulo;21598;nephew until following;syringe yet
30;phooey;2026-03-27;chunter;446;vice;now draft heavenly
